# wavelength flux
4000.7750398929 1.0008902678
4000.7817122405 1.0005551222
4000.7883845993 1.0010025268
4000.7950569693 1.0011690770
4000.8017293503 1.0009454214
4000.8084017425 1.0015043214
4000.8150741458 1.0009519088
4000.8217465603 1.0007677188
4000.8284189859 1.0007941854
4000.8350914226 1.0005167658
4000.8417638704 1.0004680761
4000.8484363293 0.9992916622
4000.8551087994 0.9997087635
4000.8617812806 1.0005483491
4000.8684537730 1.0000452124
4000.8751262765 0.9999119742
4000.8817987911 1.0006158360
4000.8884713168 1.0002292964
4000.8951438536 0.9995090199
4000.9018164016 0.9997669926
4000.9084889607 0.9995593186
4000.9151615310 0.9993302010
4000.9218341123 0.9988558415
4000.9285067048 0.9991405928
4000.9351793085 0.9989638397
4000.9418519232 0.9992520789
4000.9485245491 0.9995563290
4000.9551971861 0.9998998213
4000.9618698342 0.9995538373
4000.9685424935 0.9996033883
4000.9752151639 0.9999613429
4000.9818878454 0.9997648041
4000.9885605381 0.9997343951
4000.9952332419 0.9991427709
4001.0019059568 0.9994340350
4001.0085786828 0.9996296554
4001.0152514200 0.9999594851
4001.0219241683 1.0001709827
4001.0285969277 0.9993690842
4001.0352696982 0.9989662874
4001.0419424799 0.9990513637
4001.0486152727 0.9989847961
4001.0552880767 0.9985067834
4001.0619608917 0.9989466192
4001.0686337179 0.9992621914
4001.0753065552 0.9994861330
4001.0819794037 0.9994569746
4001.0886522633 0.9994833168
4001.0953251340 0.9996684197
4001.1019980158 1.0001733542
4001.1086709088 0.9997262215
4001.1153438129 0.9995299364
4001.1220167281 0.9994667964
4001.1286896545 0.9995268845
4001.1353625919 0.9996473034
4001.1420355405 0.9995879154
4001.1487085003 0.9996894416
4001.1553814712 0.9996389106
4001.1620544532 0.9992099097
4001.1687274463 0.9995247212
4001.1754004505 1.0003880341
4001.1820734659 1.0005647214
4001.1887464924 0.9998181355
4001.1954195301 0.9992163179
4001.2020925789 0.9991096366
4001.2087656388 0.9994451237
4001.2154387098 0.9995614117
4001.2221117919 0.9989185302
4001.2287848852 0.9989945900
4001.2354579896 0.9994697023
4001.2421311052 0.9991081708
4001.2488042319 0.9989627249
4001.2554773697 0.9997010849
4001.2621505186 0.9991930596
4001.2688236787 0.9990751751
4001.2754968499 0.9989191420
4001.2821700322 0.9995251049
4001.2888432256 1.0000999204
4001.2955164302 0.9997979548
4001.3021896459 0.9992685051
4001.3088628728 0.9988064321
4001.3155361107 0.9989341705
4001.3222093598 0.9992684330
4001.3288826201 0.9992753823
4001.3355558914 0.9993491777
4001.3422291739 0.9991956931
4001.3489024675 0.9993629286
4001.3555757723 0.9999162462
4001.3622490881 0.9994360820
4001.3689224151 0.9989496645
4001.3755957533 0.9992361150
4001.3822691025 0.9996688758
4001.3889424629 0.9994481396
4001.3956158344 0.9996168867
4001.4022892171 0.9988520624
4001.4089626109 0.9983783068
4001.4156360158 0.9980781454
4001.4223094318 0.9978962323
4001.4289828590 0.9983260062
4001.4356562973 0.9984918566
4001.4423297467 0.9996866318
4001.4490032073 1.0000282560
4001.4556766790 0.9993150894
4001.4623501618 0.9989852529
4001.4690236558 0.9991548320
4001.4756971608 0.9988132941
4001.4823706770 0.9987909849
4001.4890442044 1.0001083176
4001.4957177428 1.0000122432
4001.5023912924 0.9994773475
4001.5090648532 0.9994909429
4001.5157384250 0.9993982638
4001.5224120080 0.9993751382
4001.5290856021 0.9992172053
4001.5357592074 0.9993971707
4001.5424328238 0.9999877286
4001.5491064513 1.0001265237
4001.5557800899 0.9995752863
4001.5624537397 0.9995469948
4001.5691274006 0.9995490268
4001.5758010726 1.0000549313
4001.5824747558 0.9997697054
4001.5891484500 0.9986954832
4001.5958221555 0.9986736990
4001.6024958720 0.9989811955
4001.6091695997 0.9988634183
4001.6158433385 0.9982626953
4001.6225170884 0.9991992283
4001.6291908495 0.9997422519
4001.6358646217 0.9999541726
4001.6425384050 0.9995328772
4001.6492121995 0.9997047890
4001.6558860051 0.9993870836
4001.6625598218 0.9995183872
4001.6692336497 0.9996424493
4001.6759074886 0.9997729683
4001.6825813388 0.9995391384
4001.6892552000 0.9996143552
4001.6959290724 0.9996916566
4001.7026029559 0.9997878459
4001.7092768505 0.9998402439
4001.7159507563 0.9998727477
4001.7226246732 1.0000996000
4001.7292986012 0.9999324023
4001.7359725404 0.9997509952
4001.7426464906 1.0000105897
4001.7493204521 1.0003054953
4001.7559944246 1.0002874709
4001.7626684083 1.0002142064
4001.7693424031 1.0000883082
4001.7760164090 1.0000525311
4001.7826904261 0.9989561068
4001.7893644543 0.9985757691
4001.7960384936 0.9993688096
4001.8027125441 0.9994250506
4001.8093866057 0.9992647818
4001.8160606784 0.9995751214
4001.8227347623 1.0002870496
4001.8294088572 0.9999064221
4001.8360829634 0.9992843816
4001.8427570806 0.9987217243
4001.8494312090 0.9988985639
4001.8561053485 0.9992421901
4001.8627794991 0.9994452779
4001.8694536609 0.9996192897
4001.8761278338 0.9995144634
4001.8828020178 0.9996828766
4001.8894762130 1.0000316150
4001.8961504193 1.0004036930
4001.9028246367 1.0004735900
4001.9094988653 1.0008062536
4001.9161731050 1.0004426124
4001.9228473558 1.0004636692
4001.9295216177 1.0004721232
4001.9361958908 0.9999786852
4001.9428701750 0.9997605989
4001.9495444704 0.9996852962
4001.9562187768 0.9996116025
4001.9628930945 0.9995763816
4001.9695674232 0.9995457213
4001.9762417631 1.0001153245
4001.9829161141 0.9998451060
4001.9895904762 1.0002993942
4001.9962648494 0.9999678015
4002.0029392338 0.9997875709
4002.0096136294 0.9996418823
4002.0162880360 0.9994896349
4002.0229624538 0.9997199025
4002.0296368827 1.0003013846
4002.0363113228 1.0003912726
4002.0429857740 0.9998309638
4002.0496602363 0.9998344500
4002.0563347097 0.9996886448
4002.0630091943 0.9992598846
4002.0696836900 0.9995205898
4002.0763581968 0.9996826187
4002.0830327148 1.0002297210
4002.0897072439 1.0005392539
4002.0963817841 1.0010957435
4002.1030563355 1.0007928412
4002.1097308980 1.0003308750
4002.1164054716 1.0001159120
4002.1230800564 1.0000817489
4002.1297546523 1.0000996703
4002.1364292593 0.9999755954
4002.1431038774 0.9996640590
4002.1497785067 0.9993255653
4002.1564531471 0.9995360842
4002.1631277987 0.9997919306
4002.1698024614 0.9998433100
4002.1764771352 0.9993072488
4002.1831518201 0.9992739089
4002.1898265162 0.9992476390
4002.1965012234 0.9992331477
4002.2031759417 0.9992994833
4002.2098506712 0.9996639062
4002.2165254118 0.9996943932
4002.2232001636 0.9996572630
4002.2298749264 0.9999079994
4002.2365497004 1.0000136552
4002.2432244856 1.0001405669
4002.2498992818 1.0004473310
4002.2565740892 1.0007261203
4002.2632489077 1.0006940375
4002.2699237374 1.0009092995
4002.2765985782 1.0007527073
4002.2832734301 1.0001762362
4002.2899482932 1.0003636038
4002.2966231674 1.0005570688
4002.3032980527 1.0012804097
4002.3099729491 1.0006632820
4002.3166478567 1.0005014788
4002.3233227754 1.0009556992
4002.3299977053 1.0011427849
4002.3366726463 1.0010786873
4002.3433475984 1.0009599527
4002.3500225616 1.0008583214
4002.3566975360 1.0006790718
4002.3633725215 0.9998035799
4002.3700475181 0.9999976501
4002.3767225259 0.9997070123
4002.3833975448 0.9994970632
4002.3900725749 1.0001821314
4002.3967476160 0.9996765633
4002.4034226683 0.9999162709
4002.4100977318 1.0003868712
4002.4167728063 1.0003609165
4002.4234478920 1.0002326221
4002.4301229889 1.0003970473
4002.4367980968 1.0007866449
4002.4434732159 1.0007204765
4002.4501483462 1.0005403602
4002.4568234875 0.9998702344
4002.4634986400 0.9999228303
4002.4701738036 1.0002266467
4002.4768489784 1.0006633949
4002.4835241643 1.0009362108
4002.4901993613 1.0011783905
4002.4968745695 1.0012287462
4002.5035497888 1.0008870136
4002.5102250192 1.0010799089
4002.5169002608 1.0007804985
4002.5235755134 1.0000409260
4002.5302507773 1.0001346410
4002.5369260522 1.0004788710
4002.5436013383 1.0005980814
4002.5502766355 1.0004307199
4002.5569519439 1.0005374662
4002.5636272634 1.0009495232
4002.5703025940 1.0018274812
4002.5769779357 1.0017590888
4002.5836532886 1.0014186001
4002.5903286526 1.0017354614
4002.5970040278 1.0014953703
4002.6036794141 1.0007651477
4002.6103548115 1.0009487014
4002.6170302200 1.0006296767
4002.6237056397 1.0001576255
4002.6303810705 1.0003898897
4002.6370565125 1.0003074057
4002.6437319656 0.9999939726
4002.6504074298 1.0000270466
4002.6570829051 1.0003402474
4002.6637583916 1.0004886796
4002.6704338892 1.0002293643
4002.6771093980 0.9998167381
4002.6837849179 1.0000016070
4002.6904604489 1.0005193986
4002.6971359910 1.0003500227
4002.7038115443 0.9997990217
4002.7104871087 1.0000517779
4002.7171626843 1.0000012613
4002.7238382709 0.9997043502
4002.7305138687 1.0001501246
4002.7371894777 1.0003395407
4002.7438650978 1.0005838346
4002.7505407290 1.0004042999
4002.7572163713 1.0001238626
4002.7638920248 1.0000536864
4002.7705676894 0.9999975721
4002.7772433652 1.0000152109
4002.7839190521 0.9999290159
4002.7905947501 0.9995693458
4002.7972704592 0.9996355150
4002.8039461795 0.9997375292
4002.8106219109 0.9998613400
4002.8172976535 0.9998067716
4002.8239734071 0.9998555456
4002.8306491720 1.0002366726
4002.8373249479 1.0001870661
4002.8440007350 1.0001344067
4002.8506765332 1.0004874707
4002.8573523425 1.0006255975
4002.8640281630 0.9993450136
4002.8707039946 0.9994074691
4002.8773798374 0.9996996209
4002.8840556913 0.9996815539
4002.8907315563 0.9997285800
4002.8974074325 0.9996214033
4002.9040833197 0.9994516363
4002.9107592182 0.9999317306
4002.9174351277 1.0008157415
4002.9241110484 1.0010531800
4002.9307869802 1.0000584470
4002.9374629232 0.9999352656
4002.9441388773 1.0002047139
4002.9508148425 0.9993713965
4002.9574908188 0.9993078429
4002.9641668063 1.0003168184
4002.9708428050 1.0003920929
4002.9775188147 1.0000396993
4002.9841948356 0.9999626967
4002.9908708676 0.9997994091
4002.9975469108 0.9990233527
4003.0042229651 0.9977622817
4003.0108990305 0.9948006011
4003.0175751071 0.9927022212
4003.0242511948 1.0007798342
4003.0309272936 1.0001017546
4003.0376034036 1.0003580252
4003.0442795247 1.0006586680
4003.0509556569 1.0004903909
4003.0576318003 1.0005356303
4003.0643079548 1.0006856220
4003.0709841204 1.0006076835
4003.0776602972 1.0006998060
4003.0843364851 1.0005094345
4003.0910126841 1.0007544171
4003.0976888943 1.0009156012
4003.1043651156 1.0004100935
4003.1110413480 1.0001284646
4003.1177175916 0.9994156891
4003.1243938463 0.9995537842
4003.1310701122 0.9999137014
4003.1377463892 1.0003294189
4003.1444226773 1.0004027809
4003.1510989765 1.0008277723
4003.1577752869 1.0008292918
4003.1644516084 1.0007543411
4003.1711279411 0.9998208280
4003.1778042849 0.9995911850
4003.1844806398 0.9996200717
4003.1911570058 0.9993608961
4003.1978333830 0.9994571720
4003.2045097714 0.9998137130
4003.2111861708 1.0002408725
4003.2178625814 1.0004485999
4003.2245390031 1.0006173947
4003.2312154360 1.0010550462
4003.2378918800 1.0013862806
4003.2445683351 1.0009332217
4003.2512448014 1.0009060639
4003.2579212788 1.0001475734
4003.2645977673 0.9993977470
4003.2712742670 0.9992486677
4003.2779507778 1.0001398768
4003.2846272998 1.0003625592
4003.2913038328 0.9996147166
4003.2979803770 0.9996335233
4003.3046569324 0.9998709922
4003.3113334989 1.0003331031
